Key	de	fr	it	nl	ru
wifi_pen_prompt_overlay_tutorial_message	Falls Sie Fragen, z.B. zur Einrichtung Ihres tiptoi® Stiftes WLAN-Edition haben, öffnen Sie bitte den Menüpunkt „Hilfe und Informationen“.	Falls Sie Fragen, z.B. zur Einrichtung Ihres tiptoi® Stiftes WLAN-Edition haben, öffnen Sie bitte den Menüpunkt „Hilfe und Informationen“.	Falls Sie Fragen, z.B. zur Einrichtung Ihres tiptoi® Stiftes WLAN-Edition haben, öffnen Sie bitte den Menüpunkt „Hilfe und Informationen“.	Falls Sie Fragen, z.B. zur Einrichtung Ihres tiptoi® Stiftes WLAN-Edition haben, öffnen Sie bitte den Menüpunkt „Hilfe und Informationen“.	Falls Sie Fragen, z.B. zur Einrichtung Ihres tiptoi® Stiftes WLAN-Edition haben, öffnen Sie bitte den Menüpunkt „Hilfe und Informationen“.
wifi_pen_prompt_overlay_accept_button	Hilfe öffnen	Hilfe öffnen	Hilfe öffnen	Hilfe öffnen	Hilfe öffnen
wifi_pen_prompt_overlay_decline_button	Jetzt nicht	Jetzt nicht	Jetzt nicht	Jetzt nicht	Jetzt nicht
product_category_all	Alle	Tous	Tutti	Alle	Все
product_category_books	Bücher	Livres	Libri	Boeken	Книги
product_category_games	Spiele	Jeux	Giochi	Spellen	Игры
product_category_puzzles	Puzzle	Puzzles	Puzzle	Puzzels	Пазлы
product_category_gameworlds	Spielwelten	Spielwelten	Spielwelten	Spielwelten	Spielwelten
product_category_tokens	Spielfiguren	Figurines	Animali	Speelfiguren	Spielfiguren
product_category_adventcalendars	Adventskalender	Adventskalender	Adventskalender	Adventskalender	Adventskalender
product_category_globes	Globus	Globe	Globo	Globe	Globus
product_category_create	Create	Create	Create	Create	Create
product_category_startersets	Starter-Sets	Coffret complet	Starter-Sets	Starter Set	Starter-Sets
product_category_accessories	Zubehör	Accessoires	Accessori	Accessoires	Принадлежности
product_category_stickers	Sticker	Sticker	Sticker	Sticker	Sticker
product_audio_category_audiobooks	Hörbücher	Livres audio	Audiolibri	Luisterboeken	Аудиокниги
product_audio_category_songs	Lieder	Chansons	Canzoni	Liedjes	Песни
product_audio_category_bought	Bereits gekauft	Déjà acheté	già acquistato	Reeds gekocht	Уже куплено
help_topic_download_audio_1	Erfahren Sie Schritt für Schritt, wie Sie Audiodateien für Ihr tiptoi® Produkt schnell und einfach auf Ihren tiptoi® Stift laden.	Apprenez, étape par étape, à charger les fichiers audio de votre produit tiptoi® rapidement et facilement sur votre lecteur tiptoi®.	Scoprite passo passo come caricare, in modo semplice e veloce, i file audio per il vostro prodotto tiptoi® sul vostro lettore digitale tiptoi®.	Lees stap voor stap hoe u audiobestanden voor uw tiptoi® product snel en makkelijk op uw tiptoi® stift kunt downloaden.	Узнайте шаг за шагом, как легко и быстро загрузитть аудиофайл для Вашего tiptoi®продукта на Вашу tiptoi®ручку.
help_topic_download_audio_2	Schalten Sie Ihren tiptoi® Stift ein und verbinden Sie ihn per Kabel mit dem Computer. Der Stift wird automatisch vom tiptoi® Manager erkannt.	Allumez votre lecteur tiptoi® et connectez-le à l'ordinateur avec un câble. Le lecteur est automatiquement reconnu par tiptoi® Manager.	Accendete il lettore digitale tiptoi® e collegatelo al computer con un cavo. Il tiptoi® Manager riconosce automaticamente il lettore digitale.	Schakel uw tiptoi® stift in en verbind hem met behulp van de kabel met de computer. De stift wordt automatisch door de tiptoi® manager herkend.	Включите вашу tiptoi®ручку и с помощью кабеля соедините её с компьютером. Программа tiptoi® Manager распознает Вашу ручку автоматически.
help_topic_download_audio_3	Geben Sie den Namen Ihres tiptoi® Produktes in die Suchleiste ein und führen Sie die Suche aus.	Entrez le nom de votre produit tiptoi® dans la barre de recherche et effectuez la recherche.	Inserite il nome del vostro prodotto tiptoi® nella barra di ricerca e avviate la ricerca.	Voer de naam van uw tiptoi® product in de zoekbalk in en start uw zoekopdracht.	Задайте имя Вашего tiptoi®продукта в поисковый список и произведите поиск.
help_topic_download_audio_4	Klicken Sie auf "Herunterladen", um die Audiodatei Ihres tiptoi® Produktes auf Ihren tiptoi® Stift zu laden.	Cliquez sur « Télécharger » pour charger le fichier audio de votre produit tiptoi® sur votre lecteur tiptoi®.	Cliccate su "Download” per caricare il file audio per il vostro prodotto tiptoi® sul lettore digitale tiptoi®.	Klik op "Downloaden" om het audiobestand van uw tiptoi® product op uw tiptoi® stift te downloaden.	Кликните на "Загрузить", чтобы загрузить аудиофайл Вашего tiptoi®продукта на Вашу tiptoi®ручку.
help_topic_download_audio_5	Trennen Sie nach dem Herunterladen der gewünschten Audiodatei Ihren tiptoi® Stift vom Computer. Sie können Ihr tiptoi® Produkt nun verwenden. Viel Spaß!	Déconnectez votre lecteur tiptoi® de l'ordinateur après avoir téléchargé le fichier audio souhaité. Vous pouvez maintenant utiliser votre produit tiptoi®. Amusez-vous bien !	Terminato il download del file audio desiderato, scollegare il lettore tiptoi® dal computer. Il vostro prodotto tiptoi® è ora pronto per essere utilizzato. Buon divertimento!	Koppel na het downloaden van het gewenste audiobestand uw tiptoi® stift los van de computer. U kunt uw tiptoi® product nu gebruiken. Veel plezier!	После загрузки аудиофайла отсоедините tiptoi®ручку от компьютера. Теперь Вы можете пользоваться Вашим tiptoi®продуктом. Приятного времяпровождения!
help_call_to_action_button	Los geht's!	C'est parti !	Si comincia!	Starten maar!	Старт!
bootup_language_head	tiptoi® Sprache wählen	Choisissez la langue tiptoi®	Scegli la lingua tiptoi®	Kies de tiptoi®-taal	Выберите язык tiptoi®
bootup_language_message	Bitte wählen Sie Ihre tiptoi® Sprache aus	Veuillez sélectionner votre langue pour tiptoi®	Seleziona la lingua per tiptoi®	Selecteer uw taal voor tiptoi®	Пожалуйста, выберите язык для tiptoi®
bootup_language_ok	OK	OK	OK	OK	OK
popup_switch_manager_language_head	Sprache des Managers ändern	Modifier la langue du Manager	Modificare la lingua del Manager	Taal van de manager wijzigen	Изменить язык программы tiptoi®Manager
popup_switch_manager_language_message	Um die Sprache des tiptoi® Managers zu ändern, muss dieser neu initialisiert werden. Wollen Sie die Sprache ändern?	Pour modifier la langue du tiptoi® Manager, ce dernier doit être réinitialisé. Souhaitez-vous modifier la langue ?	Per modificare la lingua del tiptoi® Manager è necessario inizializzarlo di nuovo. Desiderate modificare la lingua?	Om de taal van de tiptoi® manager te wijzigen moet deze opnieuw worden geїnitialiseerd. Wilt u de taal wijzigen?	Чтобы изменить язык прграммы tiptoi®Manager, программа должна быть заново запущена. Вы хотите изменить язык?
popup_switch_manager_language_button_confirm	Sprache ändern	Modifier la langue	Modifica lingua	Taal wijzigen	Изменить язык
popup_switch_manager_language_button_deny	Abbrechen	Annuler	Annulla	Annuleren	Отмена
popup_switch_manager_and_pen_language_head	Sprache des Stifts und Managers ändern	Modifier la langue du lecteur et du Manager	Modificare la lingua del lettore e del Manager	Taal van de stift en manager wijzigen	Изменить языковые настройки ручки и программы
popup_switch_manager_and_pen_language_message	Wollen Sie die Sprache des tiptoi® Managers und des tiptoi® Stifts wirklich ändern?	Souhaitez-vous vraiment modifier la langue du tiptoi® Manager et du lecteur tiptoi® ?	Volete veramente modificare la lingua del tiptoi® Manager e del lettore tiptoi®?	Wilt u de taal van de tiptoi® manager en de tiptoi® stift echt wijzigen?	Вы действительно хотите изменить язык программы tiptoi® Managers и tiptoi® ручки?
popup_switch_manager_and_pen_language_button_confirm	Sprache ändern	Modifier la langue	Modifica lingua	Taal wijzigen	Изменить язык
popup_switch_manager_and_pen_language_button_deny	Abbrechen	Annuler	Annulla	Annuleren	Омена
popup_pen_does_not_support_language_switch_head	Sprache nicht unterstützt	Langue non prise en charge	Lingua non supportata	Taal wordt niet ondersteund	Язык не поддерживается
popup_pen_does_not_support_language_switch_message	Die gewählte Sprache wird von Ihrem tiptoi® Stift nicht unterstützt und kann deshalb nicht geändert werden.	La langue sélectionnée n'est pas prise en charge par votre lecteur tiptoi® et ne peut donc pas être modifiée.	Impossibile modificare la lingua, perché quella selezionata non viene supportata dal vostro lettore tiptoi®.	De gekozen taal wordt door uw tiptoi® stift niet ondersteund en kan derhalve niet worden gewijzigd.	Выбранный язык не поддерживается Вашей tiptoi® ручкой и поэтому не может быть изменён.
popup_pen_does_not_support_language_switch_button	OK	OK	OK	OK	ОК
popup_pen_connected_manager_runs_supported_language_head	Sprache des Stifts oder Managers ändern	Modifier la langue du lecteur ou du Manager	Modificare la lingua del lettore o del Manager	Taal van de stift of manager wijzigen	Изменить языковые настройки ручки или программы
popup_pen_connected_manager_runs_supported_language_message	Die aktuelle Sprache des tiptoi® Managers entspricht nicht der Sprache des tiptoi® Stifts. Sie können entweder die Sprache des Managers oder die des Stifts ändern.	La langue actuelle du tiptoi® Manager ne correspond pas à la langue du lecteur tiptoi®. Vous pouvez modifier la langue du Manager ou bien celle du lecteur.	La lingua attuale del tiptoi® Manager non corrisponde a quella del lettore tiptoi®. Potete modificare o la lingua del Manager o quella del lettore digitale.	De actuele taal van de tiptoi® manager komt niet overeen met de taal van de tiptoi® stift. U kunt de taal van de manager wijzigen ofwel de taal van de stift.	Языковые настройки программы tiptoi®Manager не соответствует языковым настройкам tiptoi® ручки. Вы можете изменить языквые настройки программы или ручки.
popup_pen_connected_manager_runs_supported_language_button_1	Manager ändern	Modifier Manager	Modifica Manager	Manager wijzigen	Изменить программу
popup_pen_connected_manager_runs_supported_language_button_2	Stift ändern	Modifier lecteur	Modifica lettore	Stift wijzigen	Изменить ручку
popup_pen_connected_manager_runs_supported_language_button_3	Abbrechen	Annuler	Annulla	Annuleren	Отмена
popup_manager_will_switch_language_head	Nicht unterstützte Sprache	Langue non prise en charge	Lingua non supportata	Niet ondersteunde taal	Язык не поддерживается
popup_manager_will_switch_language_message	Die Sprache des tiptoi® Managers wird vom tiptoi® Stift nicht unterstützt. Die Sprache des Managers wird deshalb an die Sprache des Stifts angepasst.	La langue du tiptoi® Manager n'est pas prise en charge par le lecteur tiptoi®. La langue du Manager est donc modifiée pour correspondre à la langue du lecteur.	La lingua del tiptoi® Manager non viene supportata dal lettore tiptoi®. La lingua del Manager viene quindi adeguata a quella del lettore digitale.	De taal van de tiptoi® manager wordt niet ondersteund door de tiptoi® stift. De taal van de manager wordt daarom aangepast aan de taal van de stift.	Языковые настройки программы tiptoi® Manager не поддерживаются tiptoi® ручкой. Поэтому языковая настройка программы подбирается под языковые настройки ручки.
popup_manager_will_switch_language_button	OK	OK	OK	OK	ОК
popup_pen_will_be_initialized_head	Stift aktivieren	Activer le lecteur	Attivare il lettore	Stift activeren	Активировать ручку
popup_pen_will_be_initialized_message	Vor der Benutzung muss Ihr tiptoi® Stift aktiviert werden. Soll der Stift nun aktiviert werden?	Avant d'utiliser votre lecteur tiptoi®, ce dernier doit être activé. Souhaitez-vous activer le lecteur maintenant ?	Il lettore tiptoi® deve essere acceso per poter essere utilizzato. Desiderate attivare il lettore ora?	Voor het gebruik moet uw tiptoi® stift worden geactiveerd. Moet de stift nu geactiveerd worden?	Перед использованием ручка tiptoi® должна быть активирована. Активировать ручку?
popup_pen_will_be_initialized_button_confirm	Stift aktivieren	Activer le lecteur	Attiva lettore	Stift activeren	Активировать ручку
popup_pen_will_be_initialized_button_deny	Abbrechen	Annuler	Annulla	Annuleren	Отмена
popup_manager_must_switch_to_pen_language_head	Stift aktivieren	Activer le lecteur	Attivare il lettore	Stift activeren	Активировать ручку
popup_manager_must_switch_to_pen_language_message	Ihr tiptoi® Stift unterstützt eine Sprache, die nicht der aktuell eingestellten Sprache des tiptoi® Managers entspricht. Die Sprache des Managers muss geändert werden, damit der Stift aktiviert werden kann.	Votre lecteur tiptoi® prend en charge une langue qui ne correspond pas à la langue actuellement paramétrée pour le tiptoi® Manager. La langue du Manager doit être modifiée pour que le lecteur puisse être activé.	Il vostro lettore tiptoi® supporta una lingua che non corrisponde a quella impostata per il tiptoi® Manager. È necessario modificare la lingua del Manager per poter attivare il lettore digitale.	Uw tiptoi® stift ondersteunt een taal die niet overeenkomt met de op dit moment ingestelde taal van de tiptoi® manager. De taal van de manager moet worden gewijzigd, zodat de stift kan worden geactiveerd.	Ваша tiptoi®ручка активирован в языковых параметрах, которые не соответствуют программе tiptoi®Manager. Для активирования ручки необходимо изменить языковые настройки программы tiptoi®Manager.
popup_manager_must_switch_to_pen_language_button_confirm	Fortfahren	Continuer	Continua	Doorgaan	Продолжить
popup_manager_must_switch_to_pen_language_button_deny	Abbrechen	Annuler	Annulla	Annuleren	Омена
popup_manager_must_switch_to_supported_language_head	Stift aktivieren	Activer le lecteur	Attivare il lettore	Stift activeren	Активировать ручку
popup_manager_must_switch_to_supported_language_message	Die aktuell eingestellte Sprache des tiptoi® Managers entspricht keiner der unterstützten Sprachen des tiptoi® Stifts. Damit der Stift aktiviert werden kann, muss die Sprache des Manager in eine unterstützte Sprache geändert werden. Bitte trennen Sie die USB-Verbindung des Stifts und ändern Sie die Sprache des Managers auf eine der folgenden: {0}	La langue actuellement paramétrée pour le tiptoi® Manager ne correspond à aucune des langues prises en charge par le lecteur tiptoi®. Pour activer le stylet, il convient de sélectionner une langue prise en charge comme la langue du Manager. Veuillez débrancher la connexion USB du lecteur et modifier la langue du Manager avec l’une des options suivantes : {0}	La lingua impostata per il tiptoi® Manager non supporta nessuna delle lingue supportate dal lettore tiptoi®. Per poter attivare il lettore digitale, bisogna modificare la lingua del Manager in una di quelle supportate. Staccare il collegamento USB del lettore e modificare la lingua del Manager in una delle lingue seguenti: {0}	De op dit moment ingestelde taal van de tiptoi® manager correspondeert met geen enkele van de ondersteunde talen van de tiptoi® stift. Om de stift te activeren moet de taal van de manager worden gewijzigd in een ondersteunde taal. Verbreek de USB-verbinding van de stift en wijzig de taal van de manager in een van de volgende: {0}	Установленные языковые параметры программы tiptoi® Manager не соответствуют языковым параметрам, в которых активирована ручка tiptoi®. Для того, чтобы активровать ручку, необходимо изменить язык программы на поддерживаемый язык. Пожалуйств, отсоедините USB-кабель ручки и измените язык программы на один из следующих: {0}
popup_manager_must_switch_to_supported_language_button	OK	OK	OK	OK	ОК
popup_pen_is_initializing_head	Aktivierung Ihres Stifts	Activation de votre lecteur	Attivazione del lettore digitale	Activeren van uw stift	Активирование ручки
popup_pen_is_initializing_message	Bitte warten Sie, bis der Vorgang abgeschlossen ist.	Veuillez patienter jusqu'à ce que cette opération soit terminée.	Attendere il completamento dell’operazione.	Wacht tot het proces is beëindigd.	Пожалуйста, дождитесь окончания процесса
popup_pen_language_is_changing_head	Sprache Ihres Stifts ändern	Modifier la langue de votre lecteur	Modificare la lingua del lettore	Taal van uw stift wijzigen	Изменить языковые настройки ручки
popup_pen_language_is_changing_message	Bitte warten Sie, bis der Vorgang abgeschlossen ist.	Veuillez patienter jusqu'à ce que cette opération soit terminée.	Attendere il completamento dell’operazione.	Wacht tot het proces is beëindigd.	Пожалуйста, дождитесь окончания процесса
popup_manager_language_is_changing_head	Änderung der Sprache	Modification de la langue	Modifica della lingua	Wijziging van de taal	Изменение языковых настроек
popup_manager_language_is_changing_message	Bitte warten Sie, bis der Vorgang abgeschlossen ist.	Veuillez patienter jusqu'à ce que cette opération soit terminée.	Attendere il completamento dell’operazione.	Wacht tot het proces is beëindigd.	Пожалуйста, дождитесь окончания процесса
popup_pen_initialization_completed_head	Aktivierung des Stifts abschließen	Conclure l’activation du lecteur	Concludere l’attivazione del lettore	Activering van de stift beëindigen	Закончить активирование ручки
popup_pen_initialization_completed_message	Bitte entfernen Sie den tiptoi® Stift vom Computer und schalten Sie ihn danach ein, um die Aktualisierung abzuschließen.\nSchalten Sie ihn nur ein, wenn ausreichend volle Batterien im Stift sind, ansonsten kann die Aktualisierung nicht durchgeführt werden.\n\nAchten Sie auf die gesprochenen Anweisungen nach dem Einschalten des Stifts. Entfernen Sie auf keinen Fall die Batterien des Stifts, während die Aktualisierung durchgeführt wird.\n\nSobald die Aktualisierung abgeschlossen ist, ertönt wieder eine gesprochene Anweisungen aus dem Stift. Danach können Sie den Stift verwenden.	Veuillez débrancher le lecteur tiptoi® de l’ordinateur et allumez-le ensuite pour conclure la mise à jour. \nAllumez-le seulement s’il y a suffisamment de piles pleines dans le lecteur, sinon la mise à jour ne peut pas être effectuée.\n\nRespectez les consignes parlées après que le lecteur soit allumé. Ne retirez jamais les piles du lecteur lorsque la mise à jour est en cours.\n\nUne fois la mise à jour terminée, le lecteur émet à nouveau des consignes orales. Vous pouvez ensuite utiliser le lecteur.	Per completare l’aggiornamento, scollegate il lettore tiptoi® dal computer e accendetelo di nuovo.\nAccendete il lettore solo se contiene batterie sufficientemente cariche, perché altrimenti l’aggiornamento non è possibile.\n\nDopo aver acceso il lettore digitale, seguite le indicazioni vocali. Non rimuovere mai le batterie dal lettore digitale durante l’aggiornamento.\n\nAl termine dell’aggiornamento si riceveranno di nuovo indicazioni vocali dal lettore digitale. In seguito potrete utilizzare il lettore digitale.	Verwijder de tiptoi® stift van de computer en schakel hem vervolgens in om de update af te sluiten.\nSchakel hem alleen in als er voldoende volle batterijen in de stift zitten, anders kan de update niet worden uitgevoerd.\n\nLet op de gesproken aanwijzingen na het inschakelen van de stift. Verwijder tijdens het updaten in geen geval de batterijen van de stift.\n\nZodra de update is afgesloten, komt er weer een gesproken aanwijzing uit de stift. Daarna kunt u de stift gebruiken.	Пожалуйста, отсоедините tiptoi®ручку от компьютера, а затем включите её, чтобы закончить процесс обновления. \nВключите ручку только при достаточно заряженных элементах питания , в противном случае процес обновления не будет завершён.\nСледуйте указаниям, которые Вам сообщит ручка, как только Вы её включите. Ни в коем случае не удаляйте элементы питания ручки во время проецесса обновления.\nПосле завершения процесса обновления Вы снова получите указания. После этого Вы можете пользоваться ручкой.
popup_pen_lanuguage_change_completed_head	Änderung der Sprache abschließen	Terminer la modification de la langue	Completare la modifica della lingua	Wijziging van de taal beëindigen	Закончить изменение языковых настроек
popup_pen_lanuguage_change_completed_message	Bitte entfernen Sie den tiptoi® Stift vom Computer und schalten Sie ihn danach ein, um die Aktualisierung abzuschließen.\nSchalten Sie ihn nur ein, wenn ausreichend volle Batterien im Stift sind, ansonsten kann die Aktualisierung nicht durchgeführt werden.\n\nAchten Sie auf die gesprochenen Anweisungen nach dem Einschalten des Stifts. Entfernen Sie auf keinen Fall die Batterien des Stifts, während die Aktualisierung durchgeführt wird.\n\nSobald die Aktualisierung abgeschlossen ist, ertönt wieder eine gesprochene Anweisungen aus dem Stift. Danach können Sie den Stift verwenden.	Veuillez débrancher le lecteur tiptoi® de l’ordinateur et allumez-le ensuite pour conclure la mise à jour. \nAllumez-le seulement s’il y a suffisamment de piles pleines dans le lecteur, sinon la mise à jour ne peut pas être effectuée.\n\nRespectez les consignes parlées après que le lecteur soit allumé. Ne retirez jamais les piles du lecteur lorsque la mise à jour est en cours.\n\nUne fois la mise à jour terminée, le lecteur émet à nouveau des consignes orales. Vous pouvez ensuite utiliser le lecteur.	Per completare l’aggiornamento, scollegate il lettore tiptoi® dal computer e accendetelo di nuovo.\nAccendete il lettore solo se contiene batterie sufficientemente cariche, perché altrimenti l’aggiornamento non è possibile.\n\nDopo aver acceso il lettore digitale, seguite le indicazioni vocali. Non rimuovere mai le batterie dal lettore digitale durante l’aggiornamento.\n\nAl termine dell’aggiornamento si riceveranno di nuovo indicazioni vocali dal lettore digitale. In seguito potrete utilizzare il lettore digitale.	Verwijder de tiptoi® stift van de computer en schakel hem vervolgens in om de update af te sluiten.\nSchakel hem alleen in als er voldoende volle batterijen in de stift zitten, anders kan de update niet worden uitgevoerd.\n\nLet op de gesproken aanwijzingen na het inschakelen van de stift. Verwijder tijdens het updaten in geen geval de batterijen van de stift.\n\nZodra de update is afgesloten, komt er weer een gesproken aanwijzing uit de stift. Daarna kunt u de stift gebruiken.	Пожалуйста, отсоедините tiptoi®ручку от компьютера, а затем включите её, чтобы закончить процесс обновления. \nВключите ручку только при достаточно заряженных элементах питания , в противном случае процес обновления не будет завершён.\nСледуйте указаниям, которые Вам сообщит ручка, как только Вы её включите. Ни в коем случае не удаляйте элементы питания ручки во время проецесса обновления.\nПосле завершения процесса обновления Вы снова получите указания. После этого Вы можете пользоваться ручкой.
popup_pen_taking_ownership_head	Änderung der Benutzerzuordnung	Modifier l’affectation d'utilisateur	Modifica dell’assegnazione utenti	Wijziging van de gebruikerstoewijzing	Изменение правил пользования
popup_pen_taking_ownership_message	Bitte warten Sie, bis der Vorgang abgeschlossen ist.	Veuillez patienter jusqu'à ce que cette opération soit terminée.	Attendere il completamento dell’operazione.	Wacht tot het proces is beëindigd.	Пожалуйста, подождите окончание процесса
popup_user_logging_in_head	Anmeldung läuft	Connexion en cours...	Login in corso	Aanmelding loopt	Идёт процесс авторизации
popup_user_logging_in_message	Sie werden angemeldet ...	Nous vous connectons à votre compte...	Il login è in corso...	U wordt aangemeld ...	Происходит вход в систему
popup_user_register_head	Registrierung läuft	Inscription en cours…	Registrazione in corso	Registratie loopt	Идет процесс регистрации
popup_user_register_message	Ihr Kundenkonto wird erstellt ...	Nous créons votre compte client...	Creazione account in corso...	Uw account wordt aangemaakt ...	Идёт создание Вашего аккаунта
popup_user_register_success_head	Ihre Registrierung	Votre inscription	La vostra registrazione	Uw registratie	Ваша регистрация
popup_user_register_success_message	Ihre Registrierung war erfolgreich.\n\nWir haben eine Bestätigungs-E-Mail an Sie gesendet. Dort finden Sie Ihre Zugangsdaten und weitere Informationen zu Ihrem Kundenkonto.\n\nBitte melden Sie sich mit Ihren Zugangsdaten im tiptoi® Manager an.	Votre inscription a réussi.\n\nNous vous avons envoyé un e-mail de confirmation. Vous y trouverez vos données d'accès et de plus amples informations sur votre compte client.\n\nVeuillez vous connecter à tiptoi® Manager avec vos données d'accès.	Registrazione riuscita!\n\nVi abbiamo inviato una e-mail di conferma. La e-mail contiene i vostri dati di accesso e altre informazioni sul vostro account.\n\nUtilizzate i vostri dati di accesso per effettuare il login nel tiptoi® Manager.	Uw registratie was succesvol.\n\nWij hebben u een bevestigingsmail toegestuurd. Daarin vindt u uw logingegevens en overige informatie over uw account.\n\nMeld u met uw logingegevens in de tiptoi® manager aan.	Ваша регистрация прошла успешна. \n\nМы выслали на Ваш электронный адрес подтверждение, в котором Вы найдёте данные для доступа и дальнейшую информацию касательно Вашего аккаунта.\n\n Пожалуйста, воспользуйтесь этими данными для входа в систему программы tiptoi® Manager.
popup_user_register_success_button	OK	OK	OK	OK	ОК
popup_disconnect_pen_on_cancel_head	Vorgang abgebrochen	Opération annulée	Operazione interrotta	Proces afgebroken	Процесс приостановлен
popup_disconnect_pen_on_cancel_message	Sie haben den Vorgang abgebrochen. Bitte trennen Sie die USB-Verbindung Ihres tiptoi® Stifts.	Vous avez annulé l’opération. Veuillez débrancher la connexion USB de votre lecteur tiptoi®.	Avete interrotto l’operazione. Staccate l’attacco USB del vostro lettore tiptoi®.	U hebt het proces afgebroken. Verbreek de USB-verbinding van uw tiptoi® stift.	Вы прервали процесс. Пожалуйста отсоедините USB-соединение Вашей tiptoi® ручки.
popup_disconnect_pen_on_error_head	Stift vom Computer trennen	Déconnectez le lecteur de l'ordinateur	Scollegare il lettore dal computer	Koppel de stift los van de computer	Отключите ручку от компьютера
popup_disconnect_pen_on_error_message	Es ist ein Fehler aufgetreten und der aktuelle Vorgang konnte nicht abgeschlossen werden.\nBitte trennen Sie die USB-Verbindung Ihres tiptoi® Stifts.	Une erreur s'est produite et le processus en cours n'a pas pu être terminé.\nVeuillez débrancher la connexion USB de votre lecteur tiptoi®.	Si è verificato un errore e non è stato possibile completare il processo corrente.\nStaccate l’attacco USB del vostro lettore tiptoi®.	Er is een fout opgetreden en het huidige proces kon niet worden voltooid.\nVerbreek de USB-verbinding van uw tiptoi® stift.	Произошла ошибка, и текущий процесс не может быть завершен.\nПожалуйста, отсоедините USB-соединение вашей ручки tiptoi®.
popup_check_pen_ownership_head	Benutzerzuordnung des Stifts	Affectation d’utilisateur du lecteur	Assegnazione utente al lettore digitale	Gebruikerstoewijzing van de stift	Правила пользования ручкой
popup_check_pen_ownership_message	Die Zuordnung von Benutzer und tiptoi® Stift wird überprüft.	Contrôle de l’affectation des utilisateurs et de lecteur tiptoi® en cours.	Viene verificata l’assegnazione dell’utente al lettore tiptoi®.	De toewijzing van gebruiker en tiptoi® stift wordt gecontroleerd.	Производится проверка соотнесённости Пользователя и ручки tiptoi®
popup_pen_update_firmware_head	Neue Firmware-Version verfügbar	Nouvelle version de firmware disponible	Nuova versione firmware disponibile	Nieuwe firmware-versie beschikbaar	Доступан новя версия программного обеспечения
popup_pen_update_firmware_message	Es ist eine neue Firmware-Version für Ihren tiptoi® Stift verfügbar.\n\nWollen Sie diesen nun aktualisieren?	Une nouvelle version du firmware est disponible pour votre lecteur tiptoi®.\n\nVoulez-vous le mettre à jour ?	È disponibile una nuova versione firmware per il vostro lettore tiptoi®.\n\nDesiderate eseguire l’aggiornamento?	Er is een nieuwe firmware-versie voor uw tiptoi® stift beschikbaar.\n\nWilt u deze nu updaten?	Разрешён доступ к новым версиям программного обеспечения для Вашей tiptoi® ручки.\n\Хотите запустить обновление?
popup_pen_update_firmware_button_yes	Aktualisieren	Actualiser	Aggiorna	Updaten	Обновить
popup_pen_update_firmware_button_no	Jetzt nicht	Pas maintenant	Non ora	Nu niet	Не сейчас
popup_pen_firmware_is_updating_head	Neue Firmware laden	Charger le nouveau firmware	Caricare il nuovo firmware	Nieuwe firmware downloaden	Загрузить новое программное обеспечение
popup_pen_firmware_is_updating_message	Bitte warten Sie, bis der Vorgang abgeschlossen ist.	Veuillez patienter jusqu'à ce que cette opération soit terminée.	Attendere il completamento dell’operazione.	Wacht tot het proces is beëindigd.	Пожалуйста, дождитесь окончания процесса
popup_pen_firmware_update_is_complete_head	Aktualisierung der Firmware abschließen	Terminer la mise à jour du firmware	Concludere l’aggiornamento del firmware	Update van de firmware beëindigen	Закончить обновление программного обеспечения
